"","date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"53",2020-10-31,"WA","B",2366,2366,7,NA,8522,8522,366,55,NA,NA,2319812,20017,NA,NA,NA,NA,52,106573,106573,1016,0,NA,NA,NA,NA,NA,NA,2426385,21033,2426385,21033,NA,NA,NA,NA,NA,0,NA,0
"54",2020-10-31,"WI","A+",2092,2031,63,61,11374,11374,1502,229,1479,349,1826636,9575,NA,NA,NA,NA,NA,237870,225370,5808,0,NA,NA,NA,NA,NA,175096,3289120,53451,3289120,53451,NA,NA,NA,NA,2052006,14853,NA,0
"55",2020-10-31,"WV","B",457,452,6,5,NA,NA,236,0,NA,73,754034,8722,NA,NA,NA,NA,26,24460,22575,470,0,NA,NA,NA,NA,NA,18827,NA,0,778494,9192,19145,NA,NA,NA,NA,0,776609,9109
"56",2020-10-31,"WY","B",87,NA,0,NA,439,439,120,-1,NA,NA,117262,307,NA,NA,269649,NA,NA,13298,11276,270,0,NA,NA,NA,NA,14269,8541,NA,0,283918,798,NA,NA,NA,NA,128538,994,283918,798
"57",2020-10-30,"AK","A",81,81,4,NA,448,448,90,6,NA,NA,571465,1678,NA,NA,572229,NA,6,14858,NA,377,0,NA,NA,NA,NA,13775,7096,NA,0,586323,2055,NA,NA,NA,NA,NA,0,586323,2055
"58",2020-10-30,"AL","A",2932,2735,18,197,20450,20450,1013,204,2061,NA,1172969,7071,NA,NA,NA,1187,NA,190496,162720,1347,0,NA,NA,NA,NA,NA,81005,NA,0,1335689,8254,NA,NA,64432,NA,NA,0,1335689,8254
"59",2020-10-30,"AR","A+",1900,1737,6,163,7003,7003,649,36,NA,234,1234166,10464,NA,NA,1234166,834,96,110874,102405,1162,0,NA,3300,NA,9501,NA,99165,NA,0,1336571,11281,NA,21856,NA,58958,NA,0,1336571,11281
"60",2020-10-30,"AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1616,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1616,0,NA,NA,NA,NA,NA,0,1616,0
"61",2020-10-30,"AZ","A+",5934,5641,16,293,21424,21424,900,164,NA,188,1520739,11912,NA,NA,NA,NA,99,244045,238356,1565,0,NA,NA,NA,NA,NA,40906,NA,0,1759095,13433,318796,NA,NA,NA,1759095,13433,NA,0
"62",2020-10-30,"CA","B",17571,NA,30,NA,NA,NA,3148,0,NA,772,17527605,116738,NA,NA,NA,NA,NA,916918,916918,4014,0,NA,NA,NA,NA,NA,NA,NA,0,18444523,120752,NA,NA,NA,NA,NA,0,18444523,120752
"63",2020-10-30,"CO","A",2105,NA,10,NA,9031,9031,781,88,NA,NA,1110041,8846,170282,NA,NA,NA,NA,104426,97397,2412,0,13493,NA,NA,NA,NA,7854,1963585,27177,1963585,27177,183775,NA,NA,NA,1207438,11136,NA,0
"64",2020-10-30,"CT","B",4616,3708,7,908,12257,12257,329,0,NA,NA,2217377,29931,NA,NA,NA,NA,NA,71207,67519,761,0,NA,NA,NA,NA,NA,9800,NA,0,2288584,30692,NA,NA,NA,NA,NA,0,2284896,30554
"65",2020-10-30,"DC","A+",646,NA,1,NA,NA,NA,102,0,NA,30,496986,4196,NA,NA,NA,NA,10,17144,NA,70,0,NA,NA,NA,NA,NA,13348,514130,4266,514130,4266,NA,NA,NA,NA,255048,1101,NA,0
"66",2020-10-30,"DE","A+",704,617,15,87,NA,NA,101,0,NA,22,323776,1906,NA,NA,NA,NA,NA,24751,23594,198,0,NA,NA,NA,NA,26734,13074,550857,4020,550857,4020,NA,NA,NA,NA,348527,2104,NA,0
"67",2020-10-30,"FL","A",16927,16927,73,NA,49758,49758,2356,178,NA,NA,5284167,0,515517,501250,7884446,NA,NA,789714,755749,5383,0,58365,NA,56856,NA,1028626,NA,9943626,88022,9943626,88022,574229,NA,558367,NA,6073881,5383,8959108,77047
"68",2020-10-30,"GA","A+",7955,NA,32,NA,31606,31606,1701,90,5940,NA,3201082,41768,NA,NA,3201082,NA,NA,358225,358225,1377,0,29713,NA,NA,NA,334743,NA,NA,0,3535825,19663,330193,NA,NA,NA,NA,0,3535825,19663
"69",2020-10-30,"GU","A",79,NA,1,NA,NA,NA,92,0,NA,14,62401,565,NA,NA,NA,NA,4,4628,4579,79,0,7,49,NA,NA,NA,2666,NA,0,67029,644,206,409,NA,NA,NA,0,66618,637
"70",2020-10-30,"HI","B",215,NA,2,NA,1090,1090,62,9,NA,15,295153,0,NA,NA,NA,NA,8,15116,14911,77,0,NA,NA,NA,NA,14852,11682,521859,4854,521859,4854,NA,NA,NA,NA,308090,0,NA,0
"71",2020-10-30,"IA","A+",1706,NA,13,NA,NA,NA,606,0,NA,152,767067,3185,NA,62973,NA,NA,55,117185,117185,2203,0,NA,NA,3850,7759,NA,92387,NA,0,884252,5388,NA,NA,66863,79221,885919,5392,NA,0
"72",2020-10-30,"ID","A",615,571,16,44,2549,2549,286,35,546,72,326039,2018,NA,NA,NA,NA,NA,62746,54969,961,0,NA,NA,NA,NA,NA,29195,NA,0,381008,2794,NA,NA,NA,NA,381008,2794,515774,4633
"73",2020-10-30,"IL","A",9994,9711,49,283,NA,NA,3092,0,NA,673,7234808,88168,NA,NA,NA,NA,288,408660,402401,8489,0,NA,NA,NA,NA,NA,NA,NA,0,7643468,96657,NA,NA,NA,NA,NA,0,7637209,95111
"74",2020-10-30,"IN","A+",4286,4050,26,236,16685,16685,1662,216,3248,517,1508890,10527,NA,NA,NA,NA,170,175893,NA,3163,0,NA,NA,NA,NA,168905,120925,NA,0,2863919,41067,NA,NA,NA,NA,1684783,13690,2863919,41067
"75",2020-10-30,"KS","A+",1029,NA,22,NA,3832,3832,512,80,1067,145,557601,6613,NA,NA,NA,323,53,85181,NA,3136,0,NA,NA,NA,NA,NA,2659,NA,0,642782,9749,NA,NA,NA,NA,642782,9749,NA,0
"76",2020-10-30,"KY","B",1476,1455,15,21,7098,7098,974,29,1716,241,1787618,33470,NA,NA,NA,NA,NA,105242,88512,1937,0,NA,NA,NA,NA,NA,18407,NA,0,1876130,35029,86054,61814,NA,NA,NA,0,1876130,35029
"77",2020-10-30,"LA","A",5919,5705,11,214,NA,NA,612,0,NA,NA,2577022,11441,NA,NA,NA,NA,79,186649,182270,433,0,NA,NA,NA,NA,NA,168634,NA,0,2763671,11874,NA,NA,NA,NA,2759292,11874,NA,0
"78",2020-10-30,"MA","A+",9975,9750,24,225,13253,13253,571,18,NA,106,2569972,18760,NA,NA,NA,NA,47,157146,153229,1582,0,NA,NA,NA,NA,198485,127054,NA,0,6009927,78604,NA,NA,127016,184974,2723201,20248,6009927,78604
"79",2020-10-30,"MD","A",4137,3990,10,147,17023,17023,513,52,NA,126,1782204,8743,NA,134409,NA,NA,NA,144314,144314,927,0,NA,NA,13664,NA,173940,8164,NA,0,3389678,28397,NA,NA,148073,NA,1926518,9670,3389678,28397
